url,slug,name,price_dkk
https://www.lidl.dk/p/deidesheimer-hofstuck-riesling/p10029294,deidesheimer-hofstuck-riesling,,
https://www.lidl.dk/p/rheinhessen-riesling/p10000037,rheinhessen-riesling,Rheinhessen Riesling,"30,33"
https://www.lidl.dk/p/deluxe-pizza-med-figner-og-gorgonzola/p10029485,deluxe-pizza-med-figner-og-gorgonzola,DELUXE Pizza med figner og gorgonzola,25
https://www.lidl.dk/p/esmara-pullover-eller-bukser-i-floejslook/p10029638,esmara-pullover-eller-bukser-i-floejslook,ESMARA® Pullover eller bukser i fløjslook,79
https://www.lidl.dk/p/cava-brut/p27023,cava-brut,Cava Brut,"30,33"
https://www.lidl.dk/p/californien-zinfandel-rose-2023/p10015685,californien-zinfandel-rose-2023,Californien Zinfandel Rosé 2023,"30,33"
https://www.lidl.dk/p/trattoria-alfredo-panpizza/p10029248,trattoria-alfredo-panpizza,,
https://www.lidl.dk/p/alpenfest-brezel/p10029298,alpenfest-brezel,,
https://www.lidl.dk/p/belbake-glutenfrit-pandekagemix/p10029471,belbake-glutenfrit-pandekagemix,BELBAKE Glutenfrit pandekagemix,20
https://www.lidl.dk/p/vilstrupgaard-hakket-gris-og-kalv/p10029231,vilstrupgaard-hakket-gris-og-kalv,,
https://www.lidl.dk/p/chef-select-tortelloni/p10029244,chef-select-tortelloni,,
https://www.lidl.dk/p/rundt-franskbroed/p6501016,rundt-franskbroed,Rundt franskbrød,"30,33"
https://www.lidl.dk/p/kohberg-rugbroed-madbroed-eller-cafesandwich/p10029226,kohberg-rugbroed-madbroed-eller-cafesandwich,,
https://www.lidl.dk/p/alpenfest-poelser/p10029297,alpenfest-poelser,,
https://www.lidl.dk/p/madvaerket-danske-skrabeaeg-m-l/p10025467,madvaerket-danske-skrabeaeg-m-l,"MADVÆRKET Danske skrabeæg, M/L",27.95
https://www.lidl.dk/p/rose-vilstrupgaard-hakket-kylligekoed-eller-kyllingebrystfilet/p10029446,rose-vilstrupgaard-hakket-kylligekoed-eller-kyllingebrystfilet,ROSE/VILSTRUPGÅRD Hakket kylligekød eller kyllingebrystfilet,59
https://www.lidl.dk/p/vitasia-surimirejer/p10029502,vitasia-surimirejer,VITASIA Surimirejer,20
https://www.lidl.dk/p/parkside-robust-station-med-diamantslibeskive/p10029341,parkside-robust-station-med-diamantslibeskive,,
https://www.lidl.dk/p/softkernerugbroed/p6507243,softkernerugbroed,Softkernerugbrød,"30,33"
https://www.lidl.dk/p/oeko-sau-blanc-verdejo-tierra-2023/p10015675,oeko-sau-blanc-verdejo-tierra-2023,Øko sau blanc/verdejo Tierra (2023),"30,33"
https://www.lidl.dk/p/riesling-feinherb/p10013312,riesling-feinherb,Riesling Feinherb,"30,33"
https://www.lidl.dk/p/parkside-vaerktoejssaet/p10029344,parkside-vaerktoejssaet,,
https://www.lidl.dk/p/sydafrikansk-sauvignon-blanc-2024/p10015677,sydafrikansk-sauvignon-blanc-2024,Sydafrikansk Sauvignon Blanc 2024,"30,33"
https://www.lidl.dk/p/deidesheimer-hofstuck-riesling-pfal/p10015642,deidesheimer-hofstuck-riesling-pfal,Deidesheimer Hofstück Riesling Pfal,"30,33"
https://www.lidl.dk/p/amarone-del-val-class-docg-2021/p10015706,amarone-del-val-class-docg-2021,Amarone del. Val. Class. DOCG 2021,"30,33"
https://www.lidl.dk/p/vitasia-udonnnudler/p10029522,vitasia-udonnnudler,VITASIA Udonnnudler,12
https://www.lidl.dk/p/pinot-grigio-blush/p112702,pinot-grigio-blush,Pinot Grigio Blush,"30,33"
https://www.lidl.dk/p/disney-drikkedunk/p10029335,disney-drikkedunk,,
https://www.lidl.dk/p/stryhn-s-grov-eller-fransk-leverpostej/p10029241,stryhn-s-grov-eller-fransk-leverpostej,,
https://www.lidl.dk/p/croissant-med-nougatfyld-eller-skinke-og-ost/p10029443,croissant-med-nougatfyld-eller-skinke-og-ost,Croissant med nougatfyld eller skinke og ost,8
https://www.lidl.dk/p/asti-spumante-docg/p1687,asti-spumante-docg,Asti Spumante DOCG,"30,33"
https://www.lidl.dk/p/livarno-udtraekkelig-metalhylde/p10029576,livarno-udtraekkelig-metalhylde,LIVARNO® Udtrækkelig metalhylde,149
https://www.lidl.dk/p/lupilu-undertroeje-til-boern/p10029634,lupilu-undertroeje-til-boern,LUPILU® Undertrøje til børn,30
https://www.lidl.dk/p/rosevin-spanien-bib/p115462,rosevin-spanien-bib,Rosévin Spanien - BiB,"30,33"
https://www.lidl.dk/p/crivit-loebeshorts/p10029588,crivit-loebeshorts,CRIVIT® Løbeshorts,50
https://www.lidl.dk/p/disney-2026-marvel-rejsekuffert/p10029333,disney-2026-marvel-rejsekuffert,,
https://www.lidl.dk/p/skippersild-sild/p10029254,skippersild-sild,,
https://www.lidl.dk/p/sydafrikansk-shiraz-rose-bib/p29228,sydafrikansk-shiraz-rose-bib,Sydafrikansk Shiraz rosé - BiB,"30,33"
https://www.lidl.dk/p/dentalux-tandpasta-sk9/p10025509,dentalux-tandpasta-sk9,Dentalux Tandpasta SK9,9.95
https://www.lidl.dk/p/silvercrest-citruspresser/p10029574,silvercrest-citruspresser,SILVERCREST® Citruspresser,149
https://www.lidl.dk/p/dulano-salami/p10029243,dulano-salami,,
https://www.lidl.dk/p/donut-med-chokolade/p159267,donut-med-chokolade,Donut med chokolade,"30,33"
https://www.lidl.dk/p/vitasia-ramennudler/p10029512,vitasia-ramennudler,VITASIA Ramennudler,15
https://www.lidl.dk/p/himmerlandskoed-hakket-oksekoed/p10029232,himmerlandskoed-hakket-oksekoed,,
https://www.lidl.dk/p/deluxe-frisk-pasta-med-fyld/p10029270,deluxe-frisk-pasta-med-fyld,,
https://www.lidl.dk/p/danish-crown-burger-boost/p10029458,danish-crown-burger-boost,DANISH CROWN Burger Boost,"35,-"
https://www.lidl.dk/p/sesamring/p10029305,sesamring,,
https://www.lidl.dk/p/deluxe-salami/p10029483,deluxe-salami,DELUXE Salami,20
https://www.lidl.dk/p/disney-2026-marvel-paraply/p10029334,disney-2026-marvel-paraply,,
https://www.lidl.dk/p/chef-select-hummus-sk6/p10025447,chef-select-hummus-sk6,Chef Select Hummus SK6,12.5
https://www.lidl.dk/p/deluxe-kartoffelgratin/p10029268,deluxe-kartoffelgratin,,
https://www.lidl.dk/p/caveneta-rosevin/p29510,caveneta-rosevin,Caveneta rosévin,"30,33"
https://www.lidl.dk/p/oekologisk-rosevin-bib-2022/p10015701,oekologisk-rosevin-bib-2022,Økologisk Rosévin BiB 2022,"30,33"
https://www.lidl.dk/p/lupilu-bleer-tubes-maxi-str-4/p138085,lupilu-bleer-tubes-maxi-str-4,Lupilu Bleer tubes maxi str. 4,"30,33"
https://www.lidl.dk/p/parkside-hoejbed-med-overdaekning/p10029609,parkside-hoejbed-med-overdaekning,PARKSIDE® Højbed med overdækning,199
https://www.lidl.dk/p/cal-zinfandel-rose/p34522,cal-zinfandel-rose,Cal. Zinfandel rosé,"30,33"
https://www.lidl.dk/p/madvaerket-samsoe-30-skorpefri/p10025439,madvaerket-samsoe-30-skorpefri,MADVÆRKET Samsø 30+ skorpefri,64.95
https://www.lidl.dk/p/blaabaer/p10029558,blaabaer,Blåbær,29
https://www.lidl.dk/p/vitasia-ramensuppe/p10029514,vitasia-ramensuppe,VITASIA Ramensuppe,29
https://www.lidl.dk/p/livarno-saet-med-opbevaringsboetter/p10029361,livarno-saet-med-opbevaringsboetter,,
https://www.lidl.dk/p/naturli-oekologisk-smoerbar-eller-vegansk-blok/p10029470,naturli-oekologisk-smoerbar-eller-vegansk-blok,NATURLI‘ Økologisk smørbar eller vegansk blok,15
https://www.lidl.dk/p/kinder-paaskekanin/p10029549,kinder-paaskekanin,KINDER Påskekanin,15
https://www.lidl.dk/p/w5-opvaskebeholder/p10029371,w5-opvaskebeholder,,
https://www.lidl.dk/p/deluxe-duchesse-ovnkartofler/p10029490,deluxe-duchesse-ovnkartofler,DELUXE Duchesse ovnkartofler,20
https://www.lidl.dk/p/dominio-v-alor-organic-sauvign-2023/p10015872,dominio-v-alor-organic-sauvign-2023,Dominio V'alor ORGANIC Sauvign 2023,"30,33"
https://www.lidl.dk/p/tastino-mini-eller-grovflutes/p10029535,tastino-mini-eller-grovflutes,TASTINO Mini- eller grovflutes,10
https://www.lidl.dk/p/freshona-smoothies-sk5/p10025361,freshona-smoothies-sk5,Freshona Smoothies SK5,19.95
